,Strategy Portfolio,Buy & Hold Portfolio,NIFTY Bank
Final Equity,983081.761071323,1094278.4615880486,1054440.47897385
Cumulative Return (%),-1.6918238928677054,9.427846158804854,5.444047897384996
Annualized Return (%),-1.7397388167556982,9.668572124531405,5.580468214205192
Sharpe,-0.23256325867883199,0.6013874216297492,0.39969954647925743
Sortino,-0.22886530198202268,0.552179566314699,0.37206188246123284
Max Drawdown (%),-5.637575510847636,-8.539053073685787,-7.9469432950316605
Net PnL,-16918.23892867705,94278.46158804861,54440.47897384991
