Date,HDFCBANK.NS,ICICIBANK.NS,SBIN.NS,AXISBANK.NS,KOTAKBANK.NS
2024-01-02,998906.4248498824,1000000.0,997202.0974629519,1000000.0,985307.8088570273
2024-01-03,989662.0959204586,1000000.0,1000717.8181598485,1000000.0,985574.8105776926
2024-01-04,995995.5143230866,1000000.0,1000102.5563087635,1000000.0,984852.2761188797
2024-01-05,992943.460126246,1000000.0,999399.4228985122,1005706.4788442209,979825.8369042444
2024-01-08,986327.7543835284,1000000.0,986259.4060647332,997734.0502913458,973958.5572440033
2024-01-09,981758.5241789584,1000000.0,984853.1392442308,994827.730007426,973958.5572440033
2024-01-10,978861.6235080893,1000000.0,981645.0226500564,989734.9319719428,973958.5572440033
2024-01-11,978861.6235080893,1000000.0,980282.6916091371,999733.8298711965,973958.5572440033
2024-01-12,978861.6235080893,1000000.0,992060.3237563564,996854.1342568132,973958.5572440033
2024-01-15,978861.6235080893,1002593.5034089603,997773.3698888132,996400.8639047786,973958.5572440033
2024-01-16,978861.6235080893,1002115.6626888621,994960.8362478084,996187.5410635296,973958.5572440033
2024-01-17,978861.6235080893,985809.1065884789,985380.4758905091,978997.916034931,973958.5572440033
2024-01-18,978861.6235080893,978613.9529725963,987402.0045620964,978997.916034931,973958.5572440033
2024-01-19,978861.6235080893,978613.9529725963,986918.6036954013,978997.916034931,973958.5572440033
2024-01-23,978861.6235080893,960797.0716304778,978184.2334766448,958721.9455321868,973958.5572440033
2024-01-24,978861.6235080893,952596.525308638,978184.2334766448,946663.4552668337,973958.5572440033
2024-01-25,978861.6235080893,958059.4410922453,978184.2334766448,946663.4552668337,973958.5572440033
2024-01-29,978861.6235080893,961748.2156988704,978184.2334766448,946663.4552668337,973958.5572440033
2024-01-30,978861.6235080893,962034.1666775835,978222.9248498646,946663.4552668337,972415.1609940527
2024-01-31,978861.6235080893,968468.06369863,989200.6576074007,946663.4552668337,972919.2369007753
2024-02-01,978861.6235080893,966752.357826351,994909.0981330324,946663.4552668337,972155.4544485656
2024-02-02,978861.6235080893,966094.6566128605,996505.8592614013,946663.4552668337,972216.5700976652
2024-02-05,978861.6235080893,965808.7056341473,991156.699735509,946663.4552668337,967756.1066826057
2024-02-06,978861.6235080893,967467.2352731338,996984.868108199,946663.4552668337,961233.3747054822
2024-02-07,978861.6235080893,965036.6519540718,1016944.3822128102,946663.4552668337,962944.2399396191
2024-02-08,978861.6235080893,946249.6517089409,1037070.104874845,946663.4552668337,942981.4684248139
2024-02-09,978861.6235080893,958488.3675603151,1054908.1522898145,946663.4552668337,942981.4684248139
2024-02-12,978861.6235080893,950138.5780382149,1039580.7890743146,946663.4552668337,942981.4684248139
2024-02-13,978861.6235080893,963692.6614104448,1044483.7745755375,946663.4552668337,942981.4684248139
2024-02-14,978861.6235080893,965351.1910494313,1070942.296844462,946663.4552668337,942981.4684248139
2024-02-15,978861.6235080893,961891.1911882269,1087108.9224603153,934285.9816747918,942981.4684248139
2024-02-16,978861.6235080893,965665.7301447907,1080924.9631816947,932732.9757002769,942981.4684248139
2024-02-19,978861.6235080893,977389.720272031,1084944.5259288289,930122.0661442261,942981.4684248139
2024-02-20,978861.6235080893,980249.2300591628,1085695.413701866,941668.5023622916,942981.4684248139
2024-02-21,978861.6235080893,982079.288398027,1095766.4546664152,939687.8180387691,942981.4684248139
2024-02-22,978861.6235080893,988227.2344403603,1090819.308811457,947205.4066154966,942981.4684248139
2024-02-23,978861.6235080893,987426.6275497639,1084767.830594042,945359.7901812019,942981.4684248139
2024-02-26,978861.6235080893,983366.0678022363,1084635.3495328363,940137.9710691004,942981.4684248139
2024-02-27,978861.6235080893,986797.4795467944,1076640.3304724572,937369.573892819,942981.4684248139
2024-02-28,978861.6235080893,978790.8521428254,1070147.194797844,935186.2877354547,942981.4684248139
2024-02-29,978861.6235080893,982222.2638873835,1075094.340652802,935591.4364528172,942981.4684248139
2024-03-01,978861.6235080893,1002067.3036974285,1093690.4327622452,946462.6431253855,942981.4684248139
2024-03-04,978861.6235080893,1005184.1414405019,1096252.3263971948,949838.7908528713,942981.4684248139
2024-03-05,978861.6235080893,1002725.004910919,1106765.0787387881,947160.4023025276,942981.4684248139
2024-03-06,978861.6235080893,1014725.8658948425,1106720.9183850528,958054.0836564198,942981.4684248139
2024-03-07,978861.6235080893,1009620.4143570231,1110387.0904626134,951954.4881153004,942981.4684248139
2024-03-11,978861.6235080893,1004482.1863976157,1097709.9955093793,949096.0273627602,942981.4684248139
2024-03-12,978861.6235080893,1003454.5543673579,1085342.076952138,945449.7988071397,942981.4684248139
